Variable,Protein,Protein_meaning,Protein_panel
pon1,PON1,Serum paraoxonase/arylesterase 1,Inflammation_II
pon2,PON2,Serum paraoxonase/arylesterase 2,Cardiometabolic
pon3,PON3,Serum paraoxonase/lactonase 3,Inflammation
postn,POSTN,Periostin,Cardiometabolic_II
ppbp,PPBP,Platelet basic protein,Inflammation_II
ppcdc,PPCDC,Phosphopantothenoylcysteine decarboxylase,Neurology
ppib,PPIB,Peptidyl-prolyl cis-trans isomerase B,Cardiometabolic
ppie,PPIE,Peptidyl-prolyl cis-trans isomerase E,Oncology_II
ppif,PPIF,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial",Cardiometabolic_II
ppl,PPL,Periplakin,Inflammation_II
ppm1a,PPM1A,Protein phosphatase 1A,Oncology
ppm1b,PPM1B,Protein phosphatase 1B,Inflammation_II
ppm1f,PPM1F,Protein phosphatase 1F,Cardiometabolic_II
ppme1,PPME1,Protein phosphatase methylesterase 1,Oncology
ppp1cc,PPP1CC,Serine/threonine-protein phosphatase PP1-gamma catalytic subunit,Oncology_II
ppp1r12a,PPP1R12A,Protein phosphatase 1 regulatory subunit 12A,Oncology
ppp1r12b,PPP1R12B,Protein phosphatase 1 regulatory subunit 12B,Oncology_II
ppp1r14a,PPP1R14A,Protein phosphatase 1 regulatory subunit 14A,Neurology_II
ppp1r14d,PPP1R14D,Protein phosphatase 1 regulatory subunit 14D,Neurology_II
ppp1r2,PPP1R2,Protein phosphatase inhibitor 2,Cardiometabolic
ppp1r9b,PPP1R9B,Neurabin-2,Inflammation
ppp2r5a,PPP2R5A,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform,Oncology_II
ppp3r1,PPP3R1,Calcineurin subunit B type 1,Neurology
ppt1,PPT1,Palmitoyl-protein thioesterase 1,Neurology_II
ppy,PPY,Pancreatic prohormone,Oncology
pqbp1,PQBP1,Polyglutamine-binding protein 1,Oncology
prame,PRAME,Melanoma antigen preferentially expressed in tumors,Oncology_II
prap1,PRAP1,Proline-rich acidic protein 1,Cardiometabolic_II
prc1,PRC1,Protein regulator of cytokinesis 1,Oncology_II
prcp,PRCP,Lysosomal Pro-X carboxypeptidase,Cardiometabolic
prdx1,PRDX1,Peroxiredoxin-1,Neurology
prdx2,PRDX2,Peroxiredoxin-2,Inflammation_II
prdx3,PRDX3,"Thioredoxin-dependent peroxide reductase, mitochondrial",Inflammation
prdx5,PRDX5,"Peroxiredoxin-5, mitochondrial",Inflammation
prdx6,PRDX6,Peroxiredoxin-6,Oncology
preb,PREB,Prolactin regulatory element-binding protein,Inflammation
prelp,PRELP,Prolargin,Inflammation
prg2,PRG2,Bone marrow proteoglycan,Cardiometabolic_II
prg3,PRG3,Proteoglycan 3,Cardiometabolic_II
prkab1,PRKAB1,5'-AMP-activated protein kinase subunit beta-1,Inflammation
prkag3,PRKAG3,5'-AMP-activated protein kinase subunit gamma-3,Neurology_II
prkar1a,PRKAR1A,cAMP-dependent protein kinase type I-alpha regulatory subunit,Cardiometabolic
prkar2a,PRKAR2A,cAMP-dependent protein kinase type II-alpha regulatory subunit,Neurology_II
prkcq,PRKCQ,Protein kinase C theta type,Inflammation
prkd2,PRKD2,Serine/threonine-protein kinase D2,Cardiometabolic_II
prkg1,PRKG1,cGMP-dependent protein kinase 1,Inflammation_II
prkra,PRKRA,Interferon-inducible double-stranded RNA-dependent protein kinase activator A,Oncology
prl,PRL,Prolactin,Neurology
prnd,PRND,Prion-like protein doppel,Neurology_II
proc,PROC,Vitamin K-dependent protein C,Cardiometabolic
procr,PROCR,Endothelial protein C receptor,Cardiometabolic_II
prok1,PROK1,Prokineticin-1,Inflammation
pros1,PROS1,Vitamin K-dependent protein S,Inflammation_II
prr4,PRR4,Proline-rich protein 4,Inflammation_II
prr5,PRR5,Proline-rich protein 5,Inflammation_II
prrt3,PRRT3,Proline-rich transmembrane protein 3,Cardiometabolic_II
prss2,PRSS2,Trypsin-2,Cardiometabolic
prss22,PRSS22,Brain-specific serine protease 4,Inflammation_II
prss27,PRSS27,Serine protease 27,Cardiometabolic
prss53,PRSS53,Serine protease 53,Neurology_II
prss8,PRSS8,Prostasin,Inflammation
prtfdc1,PRTFDC1,Phosphoribosyltransferase domain-containing protein 1,Neurology
prtg,PRTG,Protogenin,Oncology
prtn3,PRTN3,Myeloblastin,Cardiometabolic
prune2,PRUNE2,Protein prune homolog 2,Oncology_II
psap,PSAP,Prosaposin,Cardiometabolic_II
psapl1,PSAPL1,Proactivator polypeptide-like 1,Oncology_II
psca,PSCA,Prostate stem cell antigen,Oncology_II
psg1,PSG1,Pregnancy-specific beta-1-glycoprotein 1,Neurology
psip1,PSIP1,PC4 and SFRS1-interacting protein,Inflammation
psma1,PSMA1,Proteasome subunit alpha type-1,Oncology
psmc3,PSMC3,26S proteasome regulatory subunit 6A,Oncology_II
psmd1,PSMD1,26S proteasome non-ATPase regulatory subunit 1,Neurology_II
psmd5,PSMD5,26S proteasome non-ATPase regulatory subunit 5,Neurology_II
psmd9,PSMD9,26S proteasome non-ATPase regulatory subunit 9,Oncology
psme1,PSME1,Proteasome activator complex subunit 1,Neurology
psme2,PSME2,Proteasome activator complex subunit 2,Neurology
psmg3,PSMG3,Proteasome assembly chaperone 3,Inflammation
psmg4,PSMG4,Proteasome assembly chaperone 4,Inflammation_II
pspn,PSPN,Persephin,Inflammation
psrc1,PSRC1,Proline/serine-rich coiled-coil protein 1,Oncology
pstpip2,PSTPIP2,Proline-serine-threonine phosphatase-interacting protein 2,Inflammation_II
pten,PTEN,"Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN",Neurology
ptgds,PTGDS,Prostaglandin-H2 D-isomerase,Cardiometabolic
ptges2,PTGES2,Prostaglandin E synthase 2,Inflammation_II
ptgr1,PTGR1,Prostaglandin reductase 1,Cardiometabolic_II
pth,PTH,Parathyroid hormone,Neurology_II
pth1r,PTH1R,Parathyroid hormone/parathyroid hormone-related peptide receptor,Inflammation
ptk7,PTK7,Inactive tyrosine-protein kinase 7,Neurology
ptn,PTN,Pleiotrophin,Cardiometabolic
ptp4a3,PTP4A3,Protein tyrosine phosphatase type IVA 3,Inflammation_II
ptpn1,PTPN1,Tyrosine-protein phosphatase non-receptor type 1,Neurology
ptpn6,PTPN6,Tyrosine-protein phosphatase non-receptor type 6,Inflammation
ptpn9,PTPN9,Tyrosine-protein phosphatase non-receptor type 9,Inflammation_II
ptprb,PTPRB,Receptor-type tyrosine-protein phosphatase beta,Cardiometabolic_II
ptprc,PTPRC,Receptor-type tyrosine-protein phosphatase C,Cardiometabolic_II
ptprf,PTPRF,Receptor-type tyrosine-protein phosphatase F,Cardiometabolic
ptprh,PTPRH,Receptor-type tyrosine-protein phosphatase H,Oncology_II
ptprk,PTPRK,Receptor-type tyrosine-protein phosphatase kappa,Oncology_II
ptprm,PTPRM,Receptor-type tyrosine-protein phosphatase mu,Inflammation
ptprn2,PTPRN2,Receptor-type tyrosine-protein phosphatase N2,Neurology
ptprr,PTPRR,Receptor-type tyrosine-protein phosphatase R,Neurology_II
ptprs,PTPRS,Receptor-type tyrosine-protein phosphatase S,Cardiometabolic
ptprz1,PTPRZ1,Receptor-type tyrosine-protein phosphatase zeta,Cardiometabolic_II
ptrhd1,PTRHD1,Putative peptidyl-tRNA hydrolase PTRHD1,Inflammation_II
pts,PTS,6-pyruvoyl tetrahydrobiopterin synthase,Neurology
pttg1,PTTG1,Securin,Oncology_II
ptx3,PTX3,Pentraxin-related protein PTX3,Inflammation
pvalb,PVALB,Parvalbumin alpha,Oncology
pvr,PVR,Poliovirus receptor,Neurology
pxdnl,PXDNL,Peroxidasin-like protein,Oncology_II
pxn,PXN,Paxillin,Neurology
pydc1,PYDC1,Pyrin domain-containing protein 1,Cardiometabolic_II
pyy,PYY,Peptide YY,Cardiometabolic_II
pzp,PZP,Pregnancy zone protein,Inflammation_II
qdpr,QDPR,Dihydropteridine reductase,Cardiometabolic
qpct,QPCT,Glutaminyl-peptide cyclotransferase,Cardiometabolic
qsox1,QSOX1,Sulfhydryl oxidase 1,Inflammation_II
rab10,RAB10,Ras-related protein Rab-10,Cardiometabolic_II
rab11fip3,RAB11FIP3,Rab11 family-interacting protein 3,Cardiometabolic_II
rab27b,RAB27B,Ras-related protein Rab-27B,Cardiometabolic_II
rab2b,RAB2B,Ras-related protein Rab-2B,Oncology_II
rab33a,RAB33A,Ras-related protein Rab-33A,Cardiometabolic_II
rab37,RAB37,Ras-related protein Rab-37,Inflammation
rab39b,RAB39B,Ras-related protein Rab-39B,Cardiometabolic_II
rab3gap1,RAB3GAP1,Rab3 GTPase-activating protein catalytic subunit,Neurology_II
rab44,RAB44,Ras-related protein Rab-44,Oncology_II
rab6a,RAB6A,Ras-related protein Rab-6A,Inflammation
rab6b,RAB6B,Ras-related protein Rab-6B,Neurology
rabep1,RABEP1,Rab GTPase-binding effector protein 1,Inflammation_II
rabepk,RABEPK,Rab9 effector protein with kelch motifs,Oncology
rabgap1l,RABGAP1L,Rab GTPase-activating protein 1-like,Inflammation
rac3,RAC3,Ras-related C3 botulinum toxin substrate 3,Neurology_II
rad23b,RAD23B,UV excision repair protein RAD23 homolog B,Oncology
rad51,RAD51,DNA repair protein RAD51 homolog 1,Oncology_II
ralb,RALB,Ras-related protein Ral-B,Inflammation_II
raly,RALY,RNA-binding protein Raly,Oncology_II
ranbp1,RANBP1,Ran-specific GTPase-activating protein,Cardiometabolic_II
ranbp2,RANBP2,E3 SUMO-protein ligase RanBP2,Neurology_II
rangap1,RANGAP1,Ran GTPase-activating protein 1,Oncology
rap1a,RAP1A,Ras-related protein Rap-1A,Inflammation_II
rapgef2,RAPGEF2,Rap guanine nucleotide exchange factor 2,Oncology_II
rarres1,RARRES1,Retinoic acid receptor responder protein 1,Oncology
rarres2,RARRES2,Retinoic acid receptor responder protein 2,Cardiometabolic
rasa1,RASA1,Ras GTPase-activating protein 1,Neurology
rasgrf1,RASGRF1,Ras-specific guanine nucleotide-releasing factor 1,Oncology_II
rassf2,RASSF2,Ras association domain-containing protein 2,Oncology
rbfox3,RBFOX3,RNA binding protein fox-1 homolog 3,Neurology_II
rbks,RBKS,Ribokinase,Neurology
rbm17,RBM17,Splicing factor 45,Neurology_II
rbm19,RBM19,Probable RNA-binding protein 19,Cardiometabolic_II
rbm25,RBM25,RNA-binding protein 25,Oncology_II
rbp1,RBP1,Retinol-binding protein 1,Neurology_II
rbp2,RBP2,Retinol-binding protein 2,Oncology
rbp5,RBP5,Retinol-binding protein 5,Oncology
rbp7,RBP7,Retinoid-binding protein 7,Oncology_II
rbpms,RBPMS,RNA-binding protein with multiple splicing,Inflammation_II
rbpms2,RBPMS2,RNA-binding protein with multiple splicing 2,Cardiometabolic_II
rcc1,RCC1,Regulator of chromosome condensation,Oncology_II
rcor1,RCOR1,REST corepressor 1,Cardiometabolic
reck,RECK,Reversion-inducing cysteine-rich protein with Kazal motifs,Cardiometabolic_II
reep4,REEP4,Receptor expression-enhancing protein 4,Neurology_II
reg1a,REG1A,Lithostathine-1-alpha,Cardiometabolic
reg1b,REG1B,Lithostathine-1-beta,Cardiometabolic
reg3a,REG3A,Regenerating islet-derived protein 3-alpha,Cardiometabolic
reg3g,REG3G,Regenerating islet-derived protein 3-gamma,Oncology_II
reg4,REG4,Regenerating islet-derived protein 4,Inflammation
relb,RELB,Transcription factor RelB,Inflammation_II
relt,RELT,Tumor necrosis factor receptor superfamily member 19L,Neurology
ren,REN,Renin,Cardiometabolic
reps1,REPS1,RalBP1-associated Eps domain-containing protein 1,Inflammation_II
rest,REST,RE1-silencing transcription factor,Oncology_II
ret,RET,Proto-oncogene tyrosine-protein kinase receptor Ret,Oncology
retn,RETN,Resistin,Cardiometabolic
rexo2,REXO2,"Oligoribonuclease, mitochondrial",Cardiometabolic_II
rfc4,RFC4,Replication factor C subunit 4,Oncology_II
rgcc,RGCC,Regulator of cell cycle RGCC,Neurology_II
rgl2,RGL2,Ral guanine nucleotide dissociation stimulator-like 2,Oncology_II
rgma,RGMA,Repulsive guidance molecule A,Neurology
rgmb,RGMB,RGM domain family member B,Neurology
rgs10,RGS10,Regulator of G-protein signaling 10,Neurology_II
rgs8,RGS8,Regulator of G-protein signaling 8,Inflammation
rhoc,RHOC,Rho-related GTP-binding protein RhoC,Neurology
rictor,RICTOR,Rapamycin-insensitive companion of mTOR,Inflammation_II
rida,RIDA,2-iminobutanoate/2-iminopropanoate deaminase,Inflammation_II
rilp,RILP,Rab-interacting lysosomal protein,Oncology
rilpl2,RILPL2,RILP-like protein 2,Cardiometabolic_II
ripk4,RIPK4,Receptor-interacting serine/threonine-protein kinase 4,Cardiometabolic_II
rln1,RLN1,Prorelaxin H1,Neurology_II
rln2,RLN2,Prorelaxin H2,Inflammation_II
rnase1,RNASE1,Ribonuclease pancreatic,Inflammation_II
rnase10,RNASE10,Inactive ribonuclease-like protein 10,Cardiometabolic_II
rnase3,RNASE3,Eosinophil cationic protein,Cardiometabolic
rnase4,RNASE4,Ribonuclease 4,Inflammation_II
rnase6,RNASE6,Ribonuclease K6,Inflammation_II
rnaseh2a,RNASEH2A,Ribonuclease H2 subunit A,Neurology_II
rnaset2,RNASET2,Ribonuclease T2,Cardiometabolic
rnf149,RNF149,E3 ubiquitin-protein ligase RNF149,Cardiometabolic_II
rnf168,RNF168,E3 ubiquitin-protein ligase RNF168,Inflammation_II
rnf31,RNF31,E3 ubiquitin-protein ligase RNF31,Inflammation_II
rnf4,RNF4,E3 ubiquitin-protein ligase RNF4,Oncology_II
rnf41,RNF41,E3 ubiquitin-protein ligase NRDP1,Oncology
rnf43,RNF43,E3 ubiquitin-protein ligase RNF43,Oncology_II
rnf5,RNF5,E3 ubiquitin-protein ligase RNF5,Cardiometabolic_II
robo1,ROBO1,Roundabout homolog 1,Inflammation
robo2,ROBO2,Roundabout homolog 2,Neurology
robo4,ROBO4,Roundabout homolog 4,Cardiometabolic_II
ror1,ROR1,Inactive tyrosine-protein kinase transmembrane receptor ROR1,Cardiometabolic
rp2,RP2,Protein XRP2,Oncology
rpa2,RPA2,Replication protein A 32 kDa subunit,Inflammation_II
rpe,RPE,Ribulose-phosphate 3-epimerase,Oncology_II
rpgr,RPGR,X-linked retinitis pigmentosa GTPase regulator,Neurology_II
rpl14,RPL14,60S ribosomal protein L14,Cardiometabolic_II
rps10,RPS10,40S ribosomal protein S10,Cardiometabolic_II
rras,RRAS,Ras-related protein R-Ras,Neurology_II
rrm2,RRM2,Ribonucleoside-diphosphate reductase subunit M2,Oncology
rrm2b,RRM2B,Ribonucleoside-diphosphate reductase subunit M2 B,Oncology
rrp15,RRP15,RRP15-like protein,Neurology_II
rspo1,RSPO1,R-spondin-1,Neurology
rspo3,RSPO3,R-spondin-3,Oncology
rtbdn,RTBDN,Retbindin,Oncology
rtkn2,RTKN2,Rhotekin-2,Cardiometabolic_II
rtn4ip1,RTN4IP1,"Reticulon-4-interacting protein 1, mitochondrial",Neurology_II
rtn4r,RTN4R,Reticulon-4 receptor,Oncology
ruvbl1,RUVBL1,RuvB-like 1,Oncology
rwdd1,RWDD1,RWD domain-containing protein 1,Neurology
ryr1,RYR1,Ryanodine receptor 1,Cardiometabolic_II
s100a11,S100A11,Protein S100-A11,Cardiometabolic
s100a12,S100A12,Protein S100-A12,Oncology
s100a13,S100A13,Protein S100-A13,Inflammation_II
s100a14,S100A14,Protein S100-A14,Neurology_II
s100a16,S100A16,Protein S100-A16,Neurology
s100a3,S100A3,Protein S100-A3,Oncology_II
s100a4,S100A4,Protein S100-A4,Oncology
s100g,S100G,Protein S100-G,Neurology_II
s100p,S100P,Protein S100-P,Cardiometabolic
saa4,SAA4,Serum amyloid A-4 protein,Inflammation_II
safb2,SAFB2,Scaffold attachment factor B2,Neurology_II
sag,SAG,S-arrestin,Neurology_II
samd9l,SAMD9L,Sterile alpha motif domain-containing protein 9-like,Inflammation
sap18,SAP18,Histone deacetylase complex subunit SAP18,Oncology_II
sarg,SARG,Specifically androgen-regulated gene protein,Cardiometabolic_II
sart1,SART1,U4/U6.U5 tri-snRNP-associated protein 1,Cardiometabolic_II
sat1,SAT1,Diamine acetyltransferase 1,Cardiometabolic_II
sat2,SAT2,Thialysine N-epsilon-acetyltransferase,Oncology_II
satb1,SATB1,DNA-binding protein SATB1,Neurology_II
sbsn,SBSN,Suprabasin,Cardiometabolic_II
scamp3,SCAMP3,Secretory carrier-associated membrane protein 3,Oncology
scara5,SCARA5,Scavenger receptor class A member 5,Neurology
scarb1,SCARB1,Scavenger receptor class B member 1,Neurology
scarb2,SCARB2,Lysosome membrane protein 2,Neurology
scarf1,SCARF1,Scavenger receptor class F member 1,Cardiometabolic
scarf2,SCARF2,Scavenger receptor class F member 2,Neurology
scg2,SCG2,Secretogranin-2,Oncology
scg3,SCG3,Secretogranin-3,Inflammation
scgb1a1,SCGB1A1,Uteroglobin,Inflammation
scgb2a2,SCGB2A2,Mammaglobin-A,Cardiometabolic_II
scgb3a1,SCGB3A1,Secretoglobin family 3A member 1,Inflammation_II
scgb3a2,SCGB3A2,Secretoglobin family 3A member 2,Inflammation
scgn,SCGN,Secretagogin,Inflammation
scin,SCIN,Adseverin,Neurology_II
scly,SCLY,Selenocysteine lyase,Oncology
scn2a,SCN2A,Sodium channel protein type 2 subunit alpha,Neurology_II
scn2b,SCN2B,Sodium channel subunit beta-2,Neurology_II
scn3a,SCN3A,Sodium channel protein type 3 subunit alpha,Neurology_II
scn3b,SCN3B,Sodium channel subunit beta-3,Neurology_II
scn4b,SCN4B,Sodium channel subunit beta-4,Cardiometabolic_II
scp2,SCP2,Non-specific lipid-transfer protein,Oncology
scpep1,SCPEP1,Retinoid-inducible serine carboxypeptidase,Cardiometabolic_II
scrg1,SCRG1,Scrapie-responsive protein 1,Cardiometabolic_II
scrib,SCRIB,Protein scribble homolog,Cardiometabolic_II
scrn1,SCRN1,Secernin-1,Inflammation
sct,SCT,Secretin,Neurology_II
sdc1,SDC1,Syndecan-1,Cardiometabolic
sdc4,SDC4,Syndecan-4,Cardiometabolic
sdccag8,SDCCAG8,Serologically defined colon cancer antigen 8,Oncology_II
sdhb,SDHB,Succinate dehydrogenase,Oncology_II
sdk2,SDK2,Protein sidekick-2,Inflammation_II
sec31a,SEC31A,Protein transport protein Sec31A,Cardiometabolic_II
sel1l,SEL1L,Protein sel-1 homolog 1,Cardiometabolic_II
sele,SELE,E-selectin,Cardiometabolic
selenop,SELENOP,Selenoprotein P,Inflammation_II
sell,SELL,L-selectin,Inflammation_II
selp,SELP,P-selectin,Cardiometabolic
selplg,SELPLG,P-selectin glycoprotein ligand 1,Inflammation
sema3f,SEMA3F,Semaphorin-3F,Cardiometabolic
sema3g,SEMA3G,Semaphorin-3G,Inflammation_II
sema4c,SEMA4C,Semaphorin-4C,Oncology
sema4d,SEMA4D,Semaphorin-4D,Neurology
sema6c,SEMA6C,Semaphorin-6C,Inflammation_II
sema7a,SEMA7A,Semaphorin-7A,Cardiometabolic
septin3,SEPTIN3,Neuronal-specific septin-3,Neurology_II
septin7,SEPTIN7,Septin-7,Oncology_II
septin8,SEPTIN8,Septin-8,Neurology_II
septin9,SEPTIN9,Septin-9,Oncology
serpina1,SERPINA1,Alpha-1-antitrypsin,Inflammation_II
serpina11,SERPINA11,Serpin A11,Cardiometabolic
serpina12,SERPINA12,Serpin A12,Cardiometabolic
serpina3,SERPINA3,Alpha-1-antichymotrypsin,Inflammation_II
serpina4,SERPINA4,Kallistatin,Inflammation_II
serpina5,SERPINA5,Plasma serine protease inhibitor,Inflammation_II
serpina6,SERPINA6,Corticosteroid-binding globulin,Inflammation_II
serpina7,SERPINA7,Thyroxine-binding globulin,Inflammation_II
serpina9,SERPINA9,Serpin A9,Oncology
serpinb1,SERPINB1,Leukocyte elastase inhibitor,Neurology
serpinb5,SERPINB5,Serpin B5,Cardiometabolic
serpinb6,SERPINB6,Serpin B6,Neurology
serpinb8,SERPINB8,Serpin B8,Inflammation
serpinb9,SERPINB9,Serpin B9,Neurology
serpinc1,SERPINC1,Antithrombin-III,Inflammation_II
serpind1,SERPIND1,Heparin cofactor 2,Inflammation_II
serpine1,SERPINE1,Plasminogen activator inhibitor 1,Cardiometabolic
serpine2,SERPINE2,Glia-derived nexin,Cardiometabolic_II
serpinf1,SERPINF1,Pigment epithelium-derived factor,Inflammation_II
serpinf2,SERPINF2,Alpha-2-antiplasmin,Inflammation_II
serping1,SERPING1,Plasma protease C1 inhibitor,Inflammation_II
serpinh1,SERPINH1,Serpin H1,Oncology_II
serpini1,SERPINI1,Neuroserpin,Inflammation_II
serpini2,SERPINI2,Serpin I2,Oncology_II
sestd1,SESTD1,SEC14 domain and spectrin repeat-containing protein 1,Neurology
setmar,SETMAR,Histone-lysine N-methyltransferase SETMAR,Neurology
sez6,SEZ6,Seizure protein 6 homolog,Neurology_II
sez6l,SEZ6L,Seizure 6-like protein,Oncology
sez6l2,SEZ6L2,Seizure 6-like protein 2,Oncology
sf3b4,SF3B4,Splicing factor 3B subunit 4,Oncology
sfrp1,SFRP1,Secreted frizzled-related protein 1,Neurology
sfrp4,SFRP4,Secreted frizzled-related protein 4,Inflammation_II
sftpa1,SFTPA1,Pulmonary surfactant-associated protein A1,Oncology
sftpa2,SFTPA2,Pulmonary surfactant-associated protein A2,Oncology
sftpd,SFTPD,Pulmonary surfactant-associated protein D,Cardiometabolic
sgsh,SGSH,N-sulphoglucosamine sulphohydrolase,Cardiometabolic_II
sh2b3,SH2B3,SH2B adapter protein 3,Oncology
sh2d1a,SH2D1A,SH2 domain-containing protein 1A,Inflammation
sh3bgrl2,SH3BGRL2,SH3 domain-binding glutamic acid-rich-like protein 2,Neurology_II
sh3bp1,SH3BP1,SH3 domain-binding protein 1,Oncology_II
sh3gl3,SH3GL3,Endophilin-A3,Oncology_II
sh3glb2,SH3GLB2,Endophilin-B2,Neurology_II
shbg,SHBG,Sex hormone-binding globulin,Inflammation_II
shc1,SHC1,SHC-transforming protein 1,Oncology_II
shd,SHD,SH2 domain-containing adapter protein D,Cardiometabolic_II
shh,SHH,Sonic hedgehog protein,Inflammation_II
shisa5,SHISA5,Protein shisa-5,Cardiometabolic_II
shmt1,SHMT1,"Serine hydroxymethyltransferase, cytosolic",Inflammation
shpk,SHPK,Sedoheptulokinase,Oncology_II
siae,SIAE,Sialate O-acetylesterase,Oncology
siglec1,SIGLEC1,Sialoadhesin,Inflammation
siglec10,SIGLEC10,Sialic acid-binding Ig-like lectin 10,Inflammation
siglec15,SIGLEC15,Sialic acid-binding Ig-like lectin 15,Neurology
siglec5,SIGLEC5,Sialic acid-binding Ig-like lectin 5,Neurology
siglec6,SIGLEC6,Sialic acid-binding Ig-like lectin 6,Oncology
siglec7,SIGLEC7,Sialic acid-binding Ig-like lectin 7,Cardiometabolic
siglec8,SIGLEC8,Sialic acid-binding Ig-like lectin 8,Cardiometabolic_II
siglec9,SIGLEC9,Sialic acid-binding Ig-like lectin 9,Oncology
sil1,SIL1,Nucleotide exchange factor SIL1,Cardiometabolic_II
sirpa,SIRPA,Tyrosine-protein phosphatase non-receptor type substrate 1,Cardiometabolic
sirpb1,SIRPB1,Signal-regulatory protein beta-1,Inflammation
sirt1,SIRT1,NAD-dependent protein deacetylase sirtuin-1,Inflammation_II
sirt2,SIRT2,NAD-dependent protein deacetylase sirtuin-2,Oncology
sirt5,SIRT5,"NAD-dependent protein deacylase sirtuin-5, mitochondrial",Neurology
sit1,SIT1,Signaling threshold-regulating transmembrane adapter 1,Inflammation
skap1,SKAP1,Src kinase-associated phosphoprotein 1,Neurology
skap2,SKAP2,Src kinase-associated phosphoprotein 2,Inflammation
skiv2l,SKIV2L,Helicase SKI2W,Cardiometabolic_II
sla2,SLA2,Src-like-adapter 2,Neurology_II
slamf1,SLAMF1,Signaling lymphocytic activation molecule,Inflammation
slamf6,SLAMF6,SLAM family member 6,Oncology
slamf7,SLAMF7,SLAM family member 7,Inflammation
slamf8,SLAMF8,SLAM family member 8,Oncology
slc12a2,SLC12A2,Solute carrier family 12 member 2,Cardiometabolic_II
slc13a1,SLC13A1,Solute carrier family 13 member 1,Oncology_II
slc16a1,SLC16A1,Monocarboxylate transporter 1,Neurology
slc1a4,SLC1A4,Neutral amino acid transporter A,Neurology_II
slc27a4,SLC27A4,Long-chain fatty acid transport protein 4,Neurology
slc28a1,SLC28A1,Sodium/nucleoside cotransporter 1,Oncology_II
slc34a3,SLC34A3,Sodium-dependent phosphate transport protein 2C,Oncology_II
slc39a14,SLC39A14,Zinc transporter ZIP14,Neurology
slc39a5,SLC39A5,Zinc transporter ZIP5,Inflammation
slc44a4,SLC44A4,Choline transporter-like protein 4,Neurology_II
slc4a1,SLC4A1,Band 3 anion transport protein,Cardiometabolic_II
slc51b,SLC51B,Organic solute transporter subunit beta,Cardiometabolic_II
slc9a3r1,SLC9A3R1,Na(+)/H(+) exchange regulatory cofactor NHE-RF1,Inflammation_II
slc9a3r2,SLC9A3R2,Na(+)/H(+) exchange regulatory cofactor NHE-RF2,Oncology_II
slirp,SLIRP,"SRA stem-loop-interacting RNA-binding protein, mitochondrial",Oncology_II
slit2,SLIT2,Slit homolog 2 protein,Neurology
slitrk1,SLITRK1,SLIT and NTRK-like protein 1,Inflammation_II
slitrk2,SLITRK2,SLIT and NTRK-like protein 2,Oncology
slitrk6,SLITRK6,SLIT and NTRK-like protein 6,Cardiometabolic
slk,SLK,STE20-like serine/threonine-protein kinase,Oncology_II
slmap,SLMAP,Sarcolemmal membrane-associated protein,Oncology_II
slurp1,SLURP1,Secreted Ly-6/uPAR-related protein 1,Cardiometabolic_II
smad1,SMAD1,Mothers against decapentaplegic homolog 1,Oncology
smad2,SMAD2,Mothers against decapentaplegic homolog 2,Oncology_II
smad3,SMAD3,Mothers against decapentaplegic homolog 3,Oncology_II
smad5,SMAD5,Mothers against decapentaplegic homolog 5,Oncology
smarca2,SMARCA2,Probable global transcription activator SNF2L2,Neurology
smc3,SMC3,Structural maintenance of chromosomes protein 3,Oncology_II
smndc1,SMNDC1,Survival of motor neuron-related-splicing factor 30,Oncology_II
smoc1,SMOC1,SPARC-related modular calcium-binding protein 1,Oncology
smoc2,SMOC2,SPARC-related modular calcium-binding protein 2,Inflammation
smpd1,SMPD1,Sphingomyelin phosphodiesterase,Neurology
smpd3,SMPD3,Sphingomyelin phosphodiesterase 3,Inflammation_II
smpdl3a,SMPDL3A,Acid sphingomyelinase-like phosphodiesterase 3a,Inflammation
smpdl3b,SMPDL3B,Acid sphingomyelinase-like phosphodiesterase 3b,Oncology_II
sms,SMS,Spermine synthase,Neurology_II
smtn,SMTN,Smoothelin,Neurology_II
snap23,SNAP23,Synaptosomal-associated protein 23,Cardiometabolic
snap25,SNAP25,Synaptosomal-associated protein 25,Neurology_II
snap29,SNAP29,Synaptosomal-associated protein 29,Oncology
snapin,SNAPIN,SNARE-associated protein Snapin,Neurology_II
snca,SNCA,Alpha-synuclein,Inflammation_II
sncg,SNCG,Gamma-synuclein,Neurology
sned1,SNED1,"Sushi, nidogen and EGF-like domain-containing protein 1",Cardiometabolic_II
snrpb2,SNRPB2,U2 small nuclear ribonucleoprotein B'',Neurology_II
snu13,SNU13,NHP2-like protein 1,Cardiometabolic_II
snx15,SNX15,Sorting nexin-15,Inflammation_II
snx18,SNX18,Sorting nexin-18,Oncology_II
snx2,SNX2,Sorting nexin-2,Oncology_II
snx5,SNX5,Sorting nexin-5,Cardiometabolic_II
snx9,SNX9,Sorting nexin-9,Cardiometabolic
sod1,SOD1,Superoxide dismutase [Cu-Zn],Cardiometabolic
sod2,SOD2,"Superoxide dismutase [Mn], mitochondrial",Neurology
sod3,SOD3,Extracellular superoxide dismutase,Inflammation_II
