Variable	Protein	Protein_meaning
timp4	TIMP4	Metalloproteinase inhibitor 4
tinagl1	TINAGL1	Tubulointerstitial nephritis antigen-like
tjap1	TJAP1	Tight junction-associated protein 1
tjp3	TJP3	Tight junction protein ZO-3
tk1	TK1	"Thymidine kinase, cytosolic"
tlr1	TLR1	Toll-like receptor 1
tlr2	TLR2	Toll-like receptor 2
tlr3	TLR3	Toll-like receptor 3
tlr4	TLR4	Toll-like receptor 4
tmco5a	TMCO5A	Transmembrane and coiled-coil domain-containing protein 5A
tmed1	TMED1	Transmembrane emp24 domain-containing protein 1
tmed10	TMED10	Transmembrane emp24 domain-containing protein 10
tmed4	TMED4	Transmembrane emp24 domain-containing protein 4
tmed8	TMED8	Protein TMED8
tmem106a	TMEM106A	Transmembrane protein 106A
tmem132a	TMEM132A	Transmembrane protein 132A
tmem25	TMEM25	Transmembrane protein 25
tmod4	TMOD4	Tropomodulin-4
tmprss11b	TMPRSS11B	Transmembrane protease serine 11B
tmprss11d	TMPRSS11D	Transmembrane protease serine 11D
tmprss15	TMPRSS15	Enteropeptidase
tmprss5	TMPRSS5	Transmembrane protease serine 5
tmsb10	TMSB10	Thymosin beta-10
tnc	TNC	Tenascin
tnf	TNF	Tumor necrosis factor
tnfaip2	TNFAIP2	Tumor necrosis factor alpha-induced protein 2
tnfaip8	TNFAIP8	Tumor necrosis factor alpha-induced protein 8
tnfaip8l2	TNFAIP8L2	Tumor necrosis factor alpha-induced protein 8-like protein 2
tnfrsf10a	TNFRSF10A	Tumor necrosis factor receptor superfamily member 10A
tnfrsf10b	TNFRSF10B	Tumor necrosis factor receptor superfamily member 10B
tnfrsf10c	TNFRSF10C	Tumor necrosis factor receptor superfamily member 10C
tnfrsf11a	TNFRSF11A	Tumor necrosis factor receptor superfamily member 11A
tnfrsf11b	TNFRSF11B	Tumor necrosis factor receptor superfamily member 11B
tnfrsf12a	TNFRSF12A	Tumor necrosis factor receptor superfamily member 12A
tnfrsf13b	TNFRSF13B	Tumor necrosis factor receptor superfamily member 13B
tnfrsf13c	TNFRSF13C	Tumor necrosis factor receptor superfamily member 13C
tnfrsf14	TNFRSF14	Tumor necrosis factor receptor superfamily member 14
tnfrsf17	TNFRSF17	Tumor necrosis factor receptor superfamily member 17
tnfrsf19	TNFRSF19	Tumor necrosis factor receptor superfamily member 19
tnfrsf1a	TNFRSF1A	Tumor necrosis factor receptor superfamily member 1A
tnfrsf1b	TNFRSF1B	Tumor necrosis factor receptor superfamily member 1B
tnfrsf21	TNFRSF21	Tumor necrosis factor receptor superfamily member 21
tnfrsf4	TNFRSF4	Tumor necrosis factor receptor superfamily member 4
tnfrsf6b	TNFRSF6B	Tumor necrosis factor receptor superfamily member 6B
tnfrsf8	TNFRSF8	Tumor necrosis factor receptor superfamily member 8
tnfrsf9	TNFRSF9	Tumor necrosis factor receptor superfamily member 9
tnfsf10	TNFSF10	Tumor necrosis factor ligand superfamily member 10
tnfsf11	TNFSF11	Tumor necrosis factor ligand superfamily member 11
tnfsf12	TNFSF12	Tumor necrosis factor ligand superfamily member 12
tnfsf13	TNFSF13	Tumor necrosis factor ligand superfamily member 13
tnfsf13b	TNFSF13B	Tumor necrosis factor ligand superfamily member 13B
tnfsf14	TNFSF14	Tumor necrosis factor ligand superfamily member 14
tnfsf8	TNFSF8	Tumor necrosis factor ligand superfamily member 8
tnip1	TNIP1	TNFAIP3-interacting protein 1
tnn	TNN	Tenascin-N
tnni3	TNNI3	"Troponin I, cardiac muscle"
tnpo1	TNPO1	Transportin-1
tnr	TNR	Tenascin-R
tnxb	TNXB	Tenascin-X
tomm20	TOMM20	Mitochondrial import receptor subunit TOM20 homolog
top1	TOP1	DNA topoisomerase 1
top1mt	TOP1MT	"DNA topoisomerase I, mitochondrial"
top2b	TOP2B	DNA topoisomerase 2-beta
tor1aip1	TOR1AIP1	Torsin-1A-interacting protein 1
tp53	TP53	Cellular tumor antigen p53
tp53bp1	TP53BP1	TP53-binding protein 1
tp53i3	TP53I3	Quinone oxidoreductase PIG3
tp53inp1	TP53INP1	Tumor protein p53-inducible nuclear protein 1
tp73	TP73	Tumor protein p73
tpbgl	TPBGL	Trophoblast glycoprotein-like
tpd52l2	TPD52L2	Tumor protein D54
tpk1	TPK1	Thiamin pyrophosphokinase 1
tpm3	TPM3	Tropomyosin alpha-3 chain
tpmt	TPMT	Thiopurine S-methyltransferase
tpp1	TPP1	Tripeptidyl-peptidase 1
tppp2	TPPP2	Tubulin polymerization-promoting protein family member 2
tppp3	TPPP3	Tubulin polymerization-promoting protein family member 3
tpr	TPR	Nucleoprotein TPR
tprkb	TPRKB	EKC/KEOPS complex subunit TPRKB
tpsab1	TPSAB1	Tryptase alpha/beta-1
tpsd1	TPSD1	Tryptase delta
tpsg1	TPSG1	Tryptase gamma
tpt1	TPT1	Translationally-controlled tumor protein
traf2	TRAF2	TNF receptor-associated factor 2
traf3	TRAF3	"TNF receptor-associated factor 3, Isoform 2"
traf3ip2	TRAF3IP2	E3 ubiquitin ligase TRAF3IP2
trdmt1	TRDMT1	tRNA (cytosine(38)-C(5))-methyltransferase
treh	TREH	Trehalase
trem2	TREM2	Triggering receptor expressed on myeloid cells 2
treml1	TREML1	Trem-like transcript 1 protein
treml2	TREML2	Trem-like transcript 2 protein
triap1	TRIAP1	TP53-regulated inhibitor of apoptosis 1
trim21	TRIM21	E3 ubiquitin-protein ligase TRIM21
trim24	TRIM24	Transcription intermediary factor 1-alpha
trim25	TRIM25	E3 ubiquitin/ISG15 ligase TRIM25
trim26	TRIM26	Tripartite motif-containing protein 26
trim40	TRIM40	E3 ubiquitin ligase TRIM40
trim5	TRIM5	Tripartite motif-containing protein 5
trim58	TRIM58	E3 ubiquitin-protein ligase TRIM58
trpv3	TRPV3	Transient receptor potential cation channel subfamily V member 3
tsc1	TSC1	Hamartin
tsc22d1	TSC22D1	TSC22 domain family protein 1
tshb	TSHB	Thyrotropin subunit beta
tslp	TSLP	Thymic stromal lymphopoietin
tsnax	TSNAX	Translin-associated protein X
tspan1	TSPAN1	Tetraspanin-1
tspan15	TSPAN15	Tetraspanin-15
tspan7	TSPAN7	Tetraspanin-7
tspan8	TSPAN8	Tetraspanin-8
tspyl1	TSPYL1	Testis-specific Y-encoded-like protein 1
tst	TST	Thiosulfate sulfurtransferase
ttf2	TTF2	Transcription termination factor 2
ttn	TTN	Titin
ttr	TTR	Transthyretin
tubb3	TUBB3	Tubulin beta-3 chain
twf2	TWF2	Twinfilin-2
txk	TXK	Tyrosine-protein kinase TXK
txlna	TXLNA	Alpha-taxilin
txn	TXN	Thioredoxin
txndc15	TXNDC15	Thioredoxin domain-containing protein 15
txndc5	TXNDC5	Thioredoxin domain-containing protein 5
txndc9	TXNDC9	Thioredoxin domain-containing protein 9
txnl1	TXNL1	Thioredoxin-like protein 1
txnrd1	TXNRD1	"Thioredoxin reductase 1, cytoplasmic"
tymp	TYMP	Thymidine phosphorylase
tyro3	TYRO3	Tyrosine-protein kinase receptor TYRO3
tyrp1	TYRP1	"5,6-dihydroxyindole-2-carboxylic acid oxidase"
ubac1	UBAC1	Ubiquitin-associated domain-containing protein 1
ube2b	UBE2B	Ubiquitin-conjugating enzyme E2 B
ube2l6	UBE2L6	Ubiquitin/ISG15-conjugating enzyme E2 L6
ube2z	UBE2Z	Ubiquitin-conjugating enzyme E2 Z
ubqln3	UBQLN3	Ubiquilin-3
ubxn1	UBXN1	UBX domain-containing protein 1
ufd1	UFD1	Ubiquitin recognition factor in ER-associated degradation protein 1
ugdh	UGDH	UDP-glucose 6-dehydrogenase
uhrf2	UHRF2	E3 ubiquitin-protein ligase UHRF2
ulbp2	ULBP2	UL16-binding protein 2
umod	UMOD	Uromodulin
unc5d	UNC5D	Netrin receptor UNC5D
unc79	UNC79	Protein unc-79 homolog
ung	UNG	Uracil-DNA glycosylase
upb1	UPB1	Beta-ureidopropionase
upk3a	UPK3A	Uroplakin-3a
upk3bl1	UPK3BL1	Uroplakin-3b-like protein 1
urod	UROD	Uroporphyrinogen decarboxylase
uros	UROS	Uroporphyrinogen-III synthase
uso1	USO1	General vesicular transport factor p115
usp25	USP25	Ubiquitin carboxyl-terminal hydrolase 25
usp28	USP28	Ubiquitin carboxyl-terminal hydrolase 28
usp47	USP47	Ubiquitin carboxyl-terminal hydrolase 47
usp8	USP8	Ubiquitin carboxyl-terminal hydrolase 8
uxs1	UXS1	UDP-glucuronic acid decarboxylase 1
vamp5	VAMP5	Vesicle-associated membrane protein 5
vamp8	VAMP8	Vesicle-associated membrane protein 8
vash1	VASH1	Tubulinyl-Tyr carboxypeptidase 1
vasn	VASN	Vasorin
vasp	VASP	Vasodilator-stimulated phosphoprotein
vat1	VAT1	Synaptic vesicle membrane protein VAT-1 homolog
vav3	VAV3	Guanine nucleotide exchange factor VAV3
vcam1	VCAM1	Vascular cell adhesion protein 1
vcan	VCAN	Versican core protein
vcpkmt	VCPKMT	Protein-lysine methyltransferase METTL21D
vegfa	VEGFA	Vascular endothelial growth factor A
vegfb	VEGFB	Vascular endothelial growth factor B
vegfc	VEGFC	Vascular endothelial growth factor C
vegfd	VEGFD	Vascular endothelial growth factor D
vgf	VGF	Neurosecretory protein VGF
vim	VIM	Vimentin
vipr1	VIPR1	Vasoactive intestinal polypeptide receptor 1
vit	VIT	Vitrin
vmo1	VMO1	Vitelline membrane outer layer protein 1 homolog
vnn1	VNN1	Pantetheinase
vnn2	VNN2	Vascular non-inflammatory molecule 2
vps28	VPS28	Vacuolar protein sorting-associated protein 28 homolog
vps37a	VPS37A	Vacuolar protein sorting-associated protein 37A
vps4b	VPS4B	Vacuolar protein sorting-associated protein 4B
vps53	VPS53	Vacuolar protein sorting-associated protein 53 homolog
vsig10	VSIG10	V-set and immunoglobulin domain-containing protein 10
vsig10l	VSIG10L	V-set and immunoglobulin domain-containing protein 10-like
vsig2	VSIG2	V-set and immunoglobulin domain-containing protein 2
vsig4	VSIG4	V-set and immunoglobulin domain-containing protein 4
vsir	VSIR	V-type immunoglobulin domain-containing suppressor of T-cell activation
vsnl1	VSNL1	Visinin-like protein 1
vstm1	VSTM1	V-set and transmembrane domain-containing protein 1
vstm2b	VSTM2B	V-set and transmembrane domain-containing protein 2B
vstm2l	VSTM2L	V-set and transmembrane domain-containing protein 2-like protein
vta1	VTA1	Vacuolar protein sorting-associated protein VTA1 homolog
vtcn1	VTCN1	V-set domain-containing T-cell activation inhibitor 1
vti1a	VTI1A	Vesicle transport through interaction with t-SNAREs homolog 1A
vwa1	VWA1	von Willebrand factor A domain-containing protein 1
vwa5a	VWA5A	von Willebrand factor A domain-containing protein 5A
vwc2	VWC2	Brorin
vwc2l	VWC2L	von Willebrand factor C domain-containing protein 2-like
vwf	VWF	von Willebrand factor
wars	WARS	"Tryptophan--tRNA ligase, cytoplasmic"
was	WAS	Wiskott-Aldrich syndrome protein
wasf1	WASF1	Wiskott-Aldrich syndrome protein family member 1
wasf3	WASF3	Wiskott-Aldrich syndrome protein family member 3
washc3	WASHC3	WASH complex subunit 3
wasl	WASL	Neural Wiskott-Aldrich syndrome protein
wdr46	WDR46	WD repeat-containing protein 46
wfdc1	WFDC1	WAP four-disulfide core domain protein 1
wfdc12	WFDC12	WAP four-disulfide core domain protein 12
wfdc2	WFDC2	WAP four-disulfide core domain protein 2
wfikkn1	WFIKKN1	"WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 1"
wfikkn2	WFIKKN2	"WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 2"
wif1	WIF1	Wnt inhibitory factor 1
wnt9a	WNT9A	Protein Wnt-9a
wwp2	WWP2	NEDD4-like E3 ubiquitin-protein ligase WWP2
xcl1	XCL1	Lymphotactin
xg	XG	Glycoprotein Xg
xiap	XIAP	E3 ubiquitin-protein ligase XIAP
xpnpep2	XPNPEP2	Xaa-Pro aminopeptidase 2
xrcc4	XRCC4	DNA repair protein XRCC4
yap1	YAP1	Transcriptional coactivator YAP1
yars1	YARS1	"Tyrosine--tRNA ligase, cytoplasmic"
yes1	YES1	Tyrosine-protein kinase Yes
yju2	YJU2	Splicing factor YJU2
yod1	YOD1	Ubiquitin thioesterase OTU1
ythdf3	YTHDF3	YTH domain-containing family protein 3
ywhaq	YWHAQ	14-3-3 protein theta
yy1	YY1	Transcriptional repressor protein YY1
zbp1	ZBP1	Z-DNA-binding protein 1
zbtb16	ZBTB16	Zinc finger and BTB domain-containing protein 16
zbtb17	ZBTB17	Zinc finger and BTB domain-containing protein 17
zcchc8	ZCCHC8	Zinc finger CCHC domain-containing protein 8
zfyve19	ZFYVE19	Abscission/NoCut checkpoint regulator
zhx2	ZHX2	Zinc fingers and homeoboxes protein 2
znf174	ZNF174	Zinc finger protein 174
znf75d	ZNF75D	Zinc finger protein 75D
znf830	ZNF830	Zinc finger protein 830
znrd2	ZNRD2	Protein ZNRD2
znrf4	ZNRF4	E3 ubiquitin-protein ligase ZNRF4
zp3	ZP3	Zona pellucida sperm-binding protein 3
zp4	ZP4	Zona pellucida sperm-binding protein 4
zpr1	ZPR1	Zinc finger protein ZPR1
